pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"3 Bedroom House for sale in Kolar Road, Bhopal",Ultimate English Villa,₹60 Lac,"₹8,534 /sqft",Ready To Move,Na....................................,"Plot area 703
(65.31 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 60 Lac+ Govt Charges & Tax
@ 8,534 per sq.ft. (All inclusive, Negotiable)","Ultimate English Villa
Kolar Road, Bhopal",2 Floors,West,5 to 10 Year Old,"['2 Wardrobe', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Lalghati, Bhopal",Globus Greens,₹2.25 Cr,"₹15,000 /sqft",Ready To Move,It's very spacious bunglow ..It's prime location..Nearest all amenities..,"Plot area 1500
(139.35 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 2.25 Crore
@ 15,000 per sq.ft. (Negotiable)","Globus Greens
Lalghati, Bhopal",2 Floors,West,5 to 10 Year Old,"['4 Bed', '8 Wardrobe', '6 Fan', '1 Sofa', '1 Exhaust Fan', '3 Geyser', '2 AC', '3 TV', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club",
"6 Bedroom House for sale in Barkhera Pathani, Bhopal",BASANT VIHAR COLONY,₹48 Lac,"₹2,400 /sqft",Ready To Move,As you can see in the photos the ground floor of our house is completed but the 1st floor and 2nd floor are incomplete. Currently we live in the ground floor since last three years. Some key factors about the location are - The house is in front of society's park. House with lots of greenery. 247 water facility. ( Boring water) The colony is on the main road. (Near to the bus stop) The house located near the aiims hospital. (5 mins away) Near to the market. (5 mins away) Ranikamlapati railway station 15 mins away.,"Plot area 625
(58.06 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","6 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 48 Lac
@ 2,400 per sq.ft. (Negotiable)","BASANT VIHAR COLONY
Barkhera Pathani, Bhopal",3 Floors,North,1 to 5 Year Old,[],"['Water Storage', 'Park']",[],Park/Garden,
"9 Bedroom House for sale in Manak Vihar, Bhopal","Manak Vihar, Bhopal",₹1.5 Cr,"₹5,000 /sqft",Ready To Move,Ground floor bedrooms two with common washroom one master bedroom with attached wasroom I drawing room I kitchen Front side open space for garden and parking Back side utility area First floor 7 rooms 5with attached washroom 2 with a common washroom,"Plot area 3000
(278.71 sq.m.)  
sq.ft.","9 Bedrooms , 7 Bathrooms, 1 Balcony with Pooja Room","₹ 1.5 Crore
@ 5,000 per sq.ft. (All inclusive, Negotiable)","Manak Vihar, Bhopal",2 Floors,,10+ Year Old,[],"['Private Garden / Terrace', 'High Ceiling Height', 'No open drainage around', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']",[],,
"5 Bedroom House for sale in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹1.38 Cr,"₹3,484 /sqft",Ready To Move,"East facing bunglow ,prime location at narmadapuram road close to shopping malls like capital mall, coral woods shopping complex,phoneix mall","Plot area 2135
(198.35 sq.m.)
Built Up area: 4250 sq.ft. (394.84 sq.m.)
Carpet area: 3960 sq.ft. (367.9 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room,Others","₹ 1.38 Crore+ Govt Charges & Tax
@ 3,484 per sq.ft. (Negotiable) View Price Details","Hoshangabad Road, Bhopal",2 Floors,East,1 to 5 Year Old,"['4 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Park', 'Natural Light', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",
"1 Bedroom House for sale in Bagli, Bhopal",JD Kasturi Vihar,₹29 Lac,"₹5,664 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in , bagli, bhopal. This unfurnished apartment is a 1-5 year old property, rs. Rs29 lac. It is a resale and a ready to move in apartment. The unit is located on null floor and has . It has 1 bathroom(s). The ownership is freehold type. The apartment has 1 open parking.","Plot area 512
(47.57 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 29 Lac
@ 5,664 per sq.ft. (All inclusive, Negotiable)","JD Kasturi Vihar
Bagli, Bhopal",0 Floors,,1 to 5 Year Old,[],[],[],,
"2 Bedroom House for sale in Bagh Dilkusha, Bhopal","Bagh Dilkusha, Bhopal",₹1.5 Cr,"₹16,666 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in bagh dilkusha, bhopal. Available at price of rs 1.5 crores. It has plot area of 900 sq ft. It has 3 bhk, 1 bathroom, 1 balcony.It is a freehold property","Plot area 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 1.5 Crore
@ 16,666 per sq.ft. (Negotiable)","Bagh Dilkusha, Bhopal",1 Floors,,10+ Year Old,[],[],[],,
"3 Bedroom House for sale in Housing Board Colony, Bhopal","Housing Board Colony, Bhopal",₹85 Lac,"₹8,228 /sqft",Ready To Move,Three b.H.K with two bathroom and balconey corner duplex house for sale,"Plot area 1033
(95.97 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1033 sq.ft. (95.97 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 85 Lac+ Govt Charges & Tax
@ 8,228 per sq.ft. (All inclusive, Negotiable)","Housing Board Colony, Bhopal",2 Floors,,5 to 10 Year Old,[],[],[],,
"3 Bedroom House for sale in Eint Khedi, Bhopal",eit khedi Bhopal,₹22.9 Lac,"₹3,053 /sqft",Ready To Move,Sell my house 750sf 25*30 Ready to move,"Plot area 750
(69.68 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony with Others","₹ 22.9 Lac
@ 3,053 per sq.ft. (Negotiable) View Price Details","eit khedi Bhopal
Eint Khedi, Bhopal",1 Floors,,0 to 1 Year Old,[],[],[],,
"2 Bedroom House for sale in Rasuliya Pathar, Bhopal","Rasuliya Pathar, Bhopal",₹25 Lac,"₹3,125 /sqft",Under Construction,Piece full area property near rasulia pathar railway station only 1 km,"Plot area 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac+ Govt Charges & Tax
@ 3,125 per sq.ft. (All inclusive, Negotiable)","Rasuliya Pathar, Bhopal",1 Floors,East,,[],['Visitor Parking'],[],,Within 3 months
