pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"4 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹80 Lac,"₹6,666 /sqft",Ready To Move,"I am looking for buyer to purchase house/villa available for sale in awadhpuri, bhopal. Available at price of rs 80 lacs. It has plot area of 1200 sq ft. It has 4 bhk, 2 bathroom, 2 balcony.It is a freehold property","Plot area 1200
(111.48 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 80 Lac
@ 6,666 per sq.ft.","Awadhpuri, Bhopal",1 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"4 Bedroom House for sale in Rajved Colony, Bhopal","Rajved Colony, Bhopal",₹31 Lac,"₹5,166 /sqft",Ready To Move,"Best neighborhood, 30 foot road, bmc water connection, bmc sewage line, area is situated in one of the best locality, narayana school is within 1 km, 400 m away from 80 foot road, nursing college within 200m, maansarovar medical college campus within 2 km, d mart within 1.5 kn.","Plot area 600
(55.74 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 31 Lac
@ 5,166 per sq.ft. (All inclusive)","Rajved Colony, Bhopal",2 Floors,1 to 5 Year Old,"['3 Fan', '8 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Rain Water Harvesting']",[],North,Others,
"2 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹22 Lac,"₹5,597 /sqft",Ready To Move,"Housing board property, do construction quality is very good","Plot area 393
(36.51 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac+ Govt Charges & Tax
@ 5,597 per sq.ft. (Negotiable)","Ayodhya Nagar, Bhopal",2 Floors,10+ Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,,
"2 Bedroom House for sale in Laharpur, Bhopal","Laharpur, Bhopal",₹35 Lac,"₹4,861 /sqft",Ready To Move,"Do you wish to buy an independent house in laharpur, bhopal. This 2 bhk house looks like an ideal choice for somebody looking for peace of mind. The house has over super built up area of 720 sq.Ft. And comes with 2 bedrooms, 2 bathrooms . As the property is already ready to move, so you can easily move into this 10+ years old house. This house is owned under freehold contract. The price of this spacious independent house is 35 lac.","Plot area 720
(66.89 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony with Others","₹ 35 Lac+ Govt Charges & Tax
@ 4,861 per sq.ft. (All inclusive, Negotiable)","Laharpur, Bhopal",1 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"3 Bedroom House for sale in Sai Vihar Colony, Bhopal",kwality paradise,₹82 Lac,"₹5,466 /sqft",Ready To Move,"It's a 3bhk duplex with all the rooms having attached washroom, modular kitchen, huge 200+sqft gallery, 2 car parkings & a seperate wash area.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 82 Lac
@ 5,466 per sq.ft. (Negotiable)","kwality paradise
Sai Vihar Colony, Bhopal",2 Floors,10+ Year Old,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],East,,
"2 Bedroom House for sale in Khajuri, Bhopal","Khajuri, Bhopal",₹69 Lac,"₹2,156 /sqft",Ready To Move,Covered parking & kitchen garden at the back,"Plot area 3200
(297.29 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room","₹ 69 Lac+ Govt Charges & Tax
@ 2,156 per sq.ft.","Khajuri, Bhopal",2 Floors,1 to 5 Year Old,[],[],[],,,
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",Asnani Palm Springs,₹98.99 Lac,"₹5,487 /sqft",Under Construction,"Asnani palm springs is a plotted development in hoshangabad road, bhopal. This project offers 4bhk villas.",,,,,,,[],[],"[{'Connectivity': '4 out of 5'}, {'Lifestyle': '4.3 out of 5'}, {'Safety': '4.1 out of 5'}, {'Green Area': '4.2 out of 5'}]",,,
"1 Bedroom House for sale in Ratibad, Bhopal","Ratibad, Bhopal",₹18 Lac,"₹1,714 /sqft",Ready To Move,Near patel college and radharaman college(With walking distance and best for rent purpose),"Plot area 1050
(97.55 sq.m.)
Built Up area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 18 Lac+ Govt Charges & Tax
@ 1,714 per sq.ft. (All inclusive, Negotiable)","Ratibad, Bhopal",1 Floors,1 to 5 Year Old,[],"['Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,,
"3 Bedroom House for sale in Shankracharya Nagar, Bhopal","Shankracharya Nagar, Bhopal",₹85 Lac,"₹7,083 /sqft",Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 3 bhk house in shankracharya nagar, which is an ideal choice for a family. Another plus point for the house is that it is situated near close to market, close to school, close to hospital and close to metro station. Containing 3 bedrooms, 3 bathrooms and 1 balcony, this independent house is spread over a super built up area of 1200 sq.Ft. Being a ready to move house, you can expect immediate possession of this 10+ years old property. The nature of ownership of this independent house is freehold. This spacious house can be all yours at an attractive price of 85 lac. You enjoy a 24*7 water supply in your house. This independent house is facing the west direction.","Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 85 Lac
@ 7,083 per sq.ft. (All inclusive, Negotiable)","Shankracharya Nagar, Bhopal",2 Floors,10+ Year Old,[],[],[],West,Park/Garden,
"3 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹80 Lac,"₹6,153 /sqft",Ready To Move,It's a corner house in somya vihar phase 2 awadhpuri..Plot area 1300 sq ft. House built in 978 sq ft . The ground floor has one big drawing room and one bedroom room with dining space . First floor has two bedrooms with an attached balcony and one washroom .,"Plot area 1300
(120.77 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 80 Lac
@ 6,153 per sq.ft. (Negotiable)","Awadhpuri, Bhopal",2 Floors,10+ Year Old,"['4 Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
