pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹23 Lac,"₹2,346 /sqft",Ready To Move,Flat for sale Ibd hallmark city Kolar near mother teresa school 3 bhk ground floor Well maintained West facing,"Built Up area: 1250
(116.13 sq.m.)
Carpet area: 980 sq.ft. (91.04 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 23 Lac
@ 2,346 per sq.ft. (Negotiable)","IBD Hallmark Citii
Mahawadiya, Bhopal",Ground of 4 Floors,10+ Year Old,[],"['Feng Shui / Vaastu Compliant', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Gurunanak Pura, Bhopal",Bhagwan Enclave Phase 2,₹30 Lac,"₹6,000 /sqft",Ready To Move,2 bhk house in good locality and centre point of bhopal where all things including medical and all groceries are available nearby,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac+ Govt Charges & Tax
@ 6,000 per sq.ft. (All inclusive)","Bhagwan Enclave Phase 2
Gurunanak Pura, Bhopal",3rd   of 3 Floors,10+ Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],[],East,Main Road,
"2 BHK Flat in Shivaji Nagar, Bhopal",Ankur Complex,₹51 Lac,"₹4,636 /sqft",Ready To Move,"It is a spacious, clean, convenient, well-Lit, having decent neighborhood, well-Connected, close to railway station, market places, mall, hospital, surrounded by greenery and in one of the poshest areas of bhopal","Super Built up area 1100
(102.19 sq.m.)
Carpet area: 790 sq.ft. (73.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 51 Lac+ Govt Charges & Tax
@ 4,636 per sq.ft. (All inclusive)","Ankur Complex
Shivaji Nagar, Bhopal",4th   of 4 Floors,10+ Year Old,"['1 Bed', '2 Geyser', '11 Light', '1 AC', '1 Curtains', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Park', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Park/Garden,
"2 BHK Flat in Kotra Sultanabad, Bhopal",Jeevan Vihar,₹42 Lac,"₹3,113 /sqft",Ready To Move,Qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq,"Built Up area: 1349
(125.33 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 42 Lac
@ 3,113 per sq.ft.","Jeevan Vihar
Kotra Sultanabad, Bhopal",Ground of 8 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹23.9 Lac,"₹3,292 /sqft",Ready To Move,"All things are available, its a fully furnished flat","Super Built up area 940
(87.33 sq.m.)
Carpet area: 726 sq.ft. (67.45 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 23.9 Lac
@ 3,292 per sq.ft. (Negotiable)","Fortune Soumya Heritage
Misrod, Bhopal",6th   of 6 Floors,1 to 5 Year Old    View Construction Status,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '10 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '5 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Microwave']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Park/Garden,Others,Main Road,Club",
"3 BHK Flat in Fatehgarh, Bhopal",Mirza apartment,₹45 Lac,"₹6,428 /sqft",Ready To Move,I want to sell my flat with all furniture and fittings complete and you we get car parking and two wheeler parking,"Carpet area: 700
(65.03 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 45 Lac+ Govt Charges & Tax
@ 6,428 per sq.ft. (Negotiable)","Mirza apartment
Fatehgarh, Bhopal",2nd   of 4 Floors,1 to 5 Year Old,[],[],[],,,
"2 BHK Flat in Ayodhya Bypass , Bhopal",Tirupati Abhinav Homes,₹38 Lac,"₹5,428 /sqft",Ready To Move,"Check out this 2 bhk apartment for sale in tirupati abhinav homes, a popular residential project that houses in-Demand flats in ayodhya bypass , bhopal. The flat occupies a carpet area of 700 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. The residential building has 2 floors in total and the flat for sale is located on the lower ground floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. Tirupati abhinav homes is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre and cctv surveillance.","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 38 Lac
@ 5,428 per sq.ft. (Negotiable)","Tirupati Abhinav Homes
Ayodhya Bypass , Bhopal",Lower Ground of 2 Floors,5 to 10 Year Old,"['3 Fan', '7 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"1 BHK Flat in Rohit Nagar, Bhopal",Mahendra Square,₹19 Lac,"₹3,454 /sqft",Ready To Move,1bhk flat for sale in mahindra township,"Carpet area: 550
(51.1 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 19 Lac
@ 3,454 per sq.ft. (All inclusive)","Mahendra Square
Rohit Nagar, Bhopal",1st   of 5 Floors,1 to 5 Year Old,"['1 Bed', '3 Fan', '1 Sofa', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"3 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹31 Lac,"₹2,480 /sqft",Ready To Move,"This beautiful 3 bhk flat in misrod, bhopal is situated in fortune soumya heritage, one of the popular residential society in bhopal. The flat occupies a built up area of 1250 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The residential building has 6 floors in total and the flat for sale is located on the 2nd floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The society complex is in the close vicinity of close to hospital, close to school and close to market, making it an ideal home for a relaxed lifestyle. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house / community center, park, lift(s), security personnel and maintenance staff, will provide a pleasant living experience for you. The residents of this project enjoy a 24*7 access to clean water.","Built Up area: 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 31 Lac
@ 2,480 per sq.ft. (Negotiable)","Fortune Soumya Heritage
Misrod, Bhopal",2nd   of 6 Floors,5 to 10 Year Old    View Construction Status,"['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Pool,Park/Garden,Club",
"3 BHK Flat in Shirdipuram, Bhopal",Signature Residency,₹82 Lac,"₹4,823 /sqft",Ready To Move,"3 bhk apartment with fresh interior. Flooring, kitchen, ceiling and lighting fixtures are upgraded.","Super Built up area 1700
(157.94 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 82 Lac
@ 4,823 per sq.ft. (Negotiable)","Signature Residency
Shirdipuram, Bhopal",2nd   of 6 Floors,1 to 5 Year Old,"['1 Wardrobe', '2 Fan', '1 Exhaust Fan', '1 Geyser', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",[],East,"Pool,Park/Garden,Club,Main Road",
