pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Property Age,furnishing,features,ratings,Facing,Possession in
"2 BHK Flat in Hoshangabad Road, Bhopal",Nirupam Royal Palms,₹25 Lac,"₹2,173 /sqft",Ready To Move,Wood work in both rooms and covered kitchen,"Super Built up area 1150
(106.84 sq.m.)
Carpet area: 870 sq.ft. (80.83 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 25 Lac
@ 2,173 per sq.ft. View Price Details","Nirupam Royal Palms
Hoshangabad Road, Bhopal",5th   of 6 Floors,"Pool,Park/Garden,Club",1 to 5 Year Old,[],"['Power Back-up', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Sarvdharm Colony, Bhopal",Shiva Estate,₹20 Lac,"₹2,857 /sqft",Ready To Move,Covered campus . With temple and club house .,"Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac
@ 2,857 per sq.ft. (All inclusive, Negotiable)","Shiva Estate
Sarvdharm Colony, Bhopal",1st   of 5 Floors,,5 to 10 Year Old,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],,
"2 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹25 Lac,"₹3,571 /sqft",Ready To Move,"Agrawal sagar golden palm is one of bhopal's most sought after destination for apartments and this 2 bhk flat in katara hills is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 700 sq.Ft. The flat has a total of 6 floors and this property is situated on upper ground floor. This 5-10 years old property is available for immediate possession .","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,571 per sq.ft.","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",Ground of 6 Floors,,5 to 10 Year Old,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Katara Hills, Bhopal",Amaltas Ambreen Homes,₹30 Lac,"₹3,024 /sqft",Ready To Move,2bhk good condition with amazing facilities,"Super Built up area 992
(92.16 sq.m.)
Built Up area: 640 sq.ft. (59.46 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac
@ 3,024 per sq.ft.","Amaltas Ambreen Homes
Katara Hills, Bhopal",3rd   of 7 Floors,"Pool,Park/Garden",5 to 10 Year Old,"['3 Bed', '4 Fan', '2 Light', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Security Personnel', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Airport Road, Bhopal",Indra Vihar Residency,₹25 Lac,"₹3,333 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in indra vihar residency, airport road, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,333 per sq.ft.","Indra Vihar Residency
Airport Road, Bhopal",Ground of 2 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Indra Vihar Colony, Bhopal",Tilak Society,₹25 Lac,"₹3,333 /sqft",Ready To Move,"Best location in bhopal, 2 bhk flat with 2 toilet bathroom ground floor. Fully ventilation. Two side entrance, front and back","Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,333 per sq.ft. (Negotiable)","Tilak Society
Indra Vihar Colony, Bhopal",Ground of 2 Floors,,5 to 10 Year Old,"['2 Fan', '14 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-West,
"2 BHK Flat in Gurunanak Pura, Bhopal",Bhagwan Enclave Phase 2,₹25 Lac,"₹5,555 /sqft",Ready To Move,2 bhk flat for sale and rent both purpose Centre point of bhopal Behind capital petrol pump near prabhat petrol pump,"Carpet area: 450
(41.81 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 5,555 per sq.ft.","Bhagwan Enclave Phase 2
Gurunanak Pura, Bhopal",3rd   of 3 Floors,,10+ Year Old,"['1 Wardrobe', '1 Water Purifier', '3 Fan', '2 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",['Visitor Parking'],[],East,
"3 BHK Flat in Misrod, Bhopal",Shrinath Sheetal Heights,₹35 Lac,"₹2,916 /sqft",Ready To Move,"Looking for a 3 bhk property for sale in bhopal? Buy this 3 bhk flat in shrinath sheetal heights that is situated in misrod, bhopal. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 1200 sq.Ft. The residential building has 7 floors in total and the flat for sale is located on the 2nd floor. This 1-5 years old property is available for immediate possession as the project is ready to move.","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 35 Lac+ Govt Charges & Tax
@ 2,916 per sq.ft. (Negotiable)","Shrinath Sheetal Heights
Misrod, Bhopal",2nd   of 7 Floors,,1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Katara Hills, Bhopal",Asnani Spring Valley Dew,₹38 Lac,"₹6,119 /sqft",Ready To Move,"This 2 bhk apartment is available for sale in asnani spring valley dew, one of the most prominent projects for flats in katara hills, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a built up area of 621 sq.Ft. This flat lies on the 1st level of a 6 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The society is well equipped with many modern amenities, including fitness centre / gym, park, club house / community center, cctv surveillance and lift(s).","Built Up area: 621
(57.69 sq.m.)
Carpet area: 588 sq.ft. (54.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 38 Lac
@ 6,119 per sq.ft.","Asnani Spring Valley Dew
Katara Hills, Bhopal",1st   of 6 Floors,,1 to 5 Year Old    View Construction Status,[],"['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Arera Colony, Bhopal",Sai Dev Apartment,₹45 Lac,"₹4,500 /sqft",Ready To Move,Its in posh area e7 arera colony bhopal also metro is coming by beside to our area also its ground floor by 1000 sq ft also its independent house like duplex,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac
@ 4,500 per sq.ft. (Negotiable)","Sai Dev Apartment
Arera Colony, Bhopal",Ground of 2 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
