pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"4 Bedroom House for sale in Salaiya, Bhopal","Salaiya, Bhopal",₹1.25 Cr,"₹10,416 /sqft",Ready To Move,Interested to sell independent house/villa.Placed at salaiya.Nice semifurnished enhancing decorit has spacious 4 bedrooms and 3 bathrooms. .Want to sell it for rs 12500000.It is a 1-5 years old property construction,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.25 Crore
@ 10,416 per sq.ft.","Salaiya, Bhopal",2 Floors,1 to 5 Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"4 Bedroom House for sale in Huzur, Bhopal",AKS Land Mark Sector A,₹1.5 Cr,"₹6,250 /sqft",Ready To Move,"Looking for buyer to purchase our house/villa available for sale in sector a, bhopal. Available at price of rs 15000000. It has carpet area of 2400 sqft. It has 4 bhk, 4 bathroom, 0 balcony.It is a freehold property","Carpet area: 2400
(222.97 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, No Balcony","₹ 1.5 Crore
@ 6,250 per sq.ft.","AKS Land Mark Sector A
Huzur, Bhopal",1 Floors,1 to 5 Year Old,[],[],[],,,
"2 Bedroom House for sale in Gopal Nagar, Bhopal","Gopal Nagar, Bhopal",₹55 Lac,"₹6,875 /sqft",Ready To Move,2bhk residential house for resale in gopal nagar shivlok greens colony Fix Price,"Plot area 800
(74.32 sq.m.)
Built Up area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony
View Floor Plan","₹ 55 Lac
@ 6,875 per sq.ft.","Gopal Nagar, Bhopal",1 Floors,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Park', 'Waste Disposal']",[],East,,
"7 Bedroom House for sale in Habib Ganj, Bhopal","Habib Ganj, Bhopal",₹2.51 Cr,"₹15,000 /sqft",Ready To Move,Villa at saket nagar near aiims on 30x50 plot three story 3600 constructed ground floor one hall three room kitchen two let bath gallery carparking under ground storage. First floor one hall two bed room kitchen two let bath three gallery. Second flour two hall two toilet. Third floor solar three hundred liter two water tank on thousand liter for each floor. Very good for self residence hostel hospital and other commercial activity. For rs. 2.51 cr.,"Plot area 1500
(139.35 sq.m.)
Built Up area: 3600 sq.ft. (334.45 sq.m.)
Carpet area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.","7 Bedrooms , 6 Bathrooms, 3+ Balconies with Servant Room","₹ 2.51 Crore+ Govt Charges & Tax
@ 15,000 per sq.ft.","Habib Ganj, Bhopal",3 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Bagmugaliya, Bhopal","Bagmugaliya, Bhopal",₹90 Lac,"₹8,333 /sqft",Ready To Move,"Almost 4bhk duplex 500mtrs from aashima mall hsbd,road near kendriya vidyalay 3 looking cash or fast payment because of my son's fee for abroad studies. You will get duplex on the cost of a flat getting rent floor wise overall 15000 per month","Plot area 1080
(100.34 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)
Carpet area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 90 Lac+ Govt Charges & Tax
@ 8,333 per sq.ft. (All inclusive, Negotiable) View Price Details","Bagmugaliya, Bhopal",2 Floors,10+ Year Old,[],"['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Main Road,Park/Garden",
"5 Bedroom House for sale in Navi Bagh, Bhopal",INDUS REGENCY,₹85 Lac,"₹6,521 /sqft",Ready To Move,It is self constructed house and it can extend up to 3rd floor.,"Plot area 1150
(106.84 sq.m.)
Built Up area: 1150 sq.ft. (106.84 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Others","₹ 85 Lac+ Govt Charges & Tax
@ 6,521 per sq.ft. View Price Details","INDUS REGENCY
Navi Bagh, Bhopal",2 Floors,0 to 1 Year Old,"['1 Bed', '1 Wardrobe', '4 Fan', '10 Light', '1 TV', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']",[],[],North,"Park/Garden,Main Road,Club",
"3 Bedroom House for sale in Kolar Road, Bhopal",Windsor Palms,₹55 Lac,"₹6,875 /sqft",Under Construction,Spacious design nice elevation 3bhk 3t on 6 lane covered campus Our usp 1) earthquake resistance structure with heavy rienforcement and rcc band in brickwork 2) spacious rooms with attached toilets 3) beautiful elevation design which generally builders dont provide 4) branded bathroom fittings 5) three big size washrooms 6) park facing with ample parking space 7) value for money property,"Plot area 800
(74.32 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies
View Floor Plan","₹ 55 Lac+ Govt Charges & Tax
@ 6,875 per sq.ft. (Negotiable)","Windsor Palms
Kolar Road, Bhopal",2 Floors,,[],"['Water Storage', 'Park', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,Park/Garden,Within 6 months
"3 Bedroom House for sale in Awadhpuri, Bhopal",Khajurkalan,₹70 Lac,"₹7,954 /sqft",Under Construction,For sell 3 bhk duplex in covered campus Rcc road Park Security guard Plot size 880 sqft Built-Up 1500 sqft Location - Khajuri kalan road awadhpuri Price 70 lac + registry/gst actual Possession with 12 month from date of registry Registry plot pe hogi.,"Plot area 880
(81.75 sq.m.)
Built Up area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 70 Lac+ Govt Charges & Tax
@ 7,954 per sq.ft.","Khajurkalan
Awadhpuri, Bhopal",2 Floors,,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,Park/Garden,Aug 2026
"4 Bedroom House for sale in Kolar Road, Bhopal",Ankit parisar nayapura,₹75 Lac,"₹4,687 /sqft",Ready To Move,"Looking for buyer to purchase our housevilla available for sale in kolar road, bhopal. Available at price of rs 85 lakh. It has plot area of 1600 sq ft. It has 4 halls, 3 bedrooms, 4kitchens, 6 bathrooms, 2 balcony and a full terrace.It is a freehold property.","Plot area 1600
(148.64 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)  
sq.ft.","4 Bedrooms , 6 Bathrooms, 2 Balconies with Pooja Room,Study Room,Store Room","₹ 75 Lac+ Govt Charges & Tax
@ 4,687 per sq.ft. (All inclusive, Negotiable)","Ankit parisar nayapura
Kolar Road, Bhopal",1 Floors,1 to 5 Year Old,"['8 Fan', '10 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,,
"4 Bedroom House for sale in Danish Nagar, Bhopal",Sagar Royal Homes,₹1.4 Cr,"₹10,769 /sqft",Ready To Move,Luxury 4bhk duplex for sale sagar royal villas Prime corner location | north facing,"Plot area 1300
(120.77 sq.m.)
Built Up area: 2200 sq.ft. (204.39 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.4 Crore
@ 10,769 per sq.ft. View Price Details","Sagar Royal Homes
Danish Nagar, Bhopal",2 Floors,10+ Year Old,"['5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,"Club,Park/Garden,Main Road,Others",
