pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"2 Bedroom House for sale in Chopra Kalan, Vidisha road, Bhopal","Chopra Kalan, Vidisha road, Bhopal",₹45 Lac,"₹3,750 /sqft",Ready To Move,"Fully furnished property with premium interiors and all essential electronics included. Located near bhanpur peoples mall, offering excellent connectivity and convenience. Ready-To-Move with superior build quality and thoughtfully designed interiors for a comfortable lifestyle.","Plot area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Pooja Room","₹ 45 Lac
@ 3,750 per sq.ft. (Negotiable)","Chopra Kalan, Vidisha road, Bhopal",1 Floors,South-West,1 to 5 Year Old,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '1 Geyser', '30 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '2 Wardrobe', '1 Sofa', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine']","['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Low Density Society']",[],,
"4 Bedroom House for sale in noor mahal ashok colony, Bhopal","noor mahal ashok colony, Bhopal",₹2.5 Cr,"₹9,259 /sqft",Ready To Move,"Property for sale house with commercial space in noormahal ashok colony, bhopal","Plot area 2700
(250.84 sq.m.)
Built Up area: 5400 sq.ft. (501.68 sq.m.)
Carpet area: 4900 sq.ft. (455.22 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Servant Room","₹ 2.5 Crore+ Govt Charges & Tax
@ 9,259 per sq.ft. (Negotiable) View Price Details","noor mahal ashok colony, Bhopal",1 Floors,North-East,10+ Year Old,"['2 Bed', '4 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Geyser', '15 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']",[],"Park/Garden,Main Road",
"4 Bedroom House for sale in Khajuri Kalan , Bhopal",Kalyani Kunj Town,₹84 - 90 Lac,"₹6,052 /sqft",Under Construction,"Lavish, is the only way to describe these beautiful 3bhk and 4bhk villas in bhopal. Kalyani kunj town built by kalyani infrastructure have everything you would ever expect in a true luxury accommodation. Extended over a wide area, the architecture and attention to detail put them in a class by themselves. These homes are recognized by state rera and built with all essential amenities.",,,,,,,,[],[],"[{'Connectivity': '4 out of 5'}, {'Lifestyle': '3.9 out of 5'}, {'Safety': '4.1 out of 5'}, {'Green Area': '4.2 out of 5'}]",,
"3 Bedroom House for sale in Kolar, Bhopal",onyx palace lalita nagar,₹75 Lac,"₹7,894 /sqft",Ready To Move,"Property for sale at 75 lacs negotiable + govt charges,(20 year old property) just 100 meters from 4lane main road priyanka nagar and 1 kms from 6 lane road House amenities: It has well maintained independent duplex with 1 large hall , 3 spacious bedrooms, spacious kitchen, 2 washrooms , sufficient space at front for four wheeler parking along with 2 wheeler, newly constructed concrete underground water tank for sufficient water storage, sufficient space for garden , and little space at back side for clothes washing, one large tarrace at 1 st floor , this location is very demanding so grab it as soon as possible before it gets sold out.","Plot area 1200
(111.48 sq.m.)
Carpet area: 950 sq.ft. (88.26 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 75 Lac
@ 7,894 per sq.ft. (Negotiable)","onyx palace lalita nagar
Kolar, Bhopal",1 Floors,West,10+ Year Old,[],"['Private Garden / Terrace', 'Water Storage']",[],Others,
"3 Bedroom House for sale in Kolar Road, Bhopal",Banjari Dussehra maidan,₹1.85 Cr,"₹12,333 /sqft",Under Construction,"Kolar road is an ideal location for buying residential plots in bhopal. This plot in kolar road is a great buy for you. It's 1500 sq.Ft. Super built up area property. Ownership of this property provides you entitlement to construct up to 1 floor. The boundary wall is already built around the plot. To build the residence, possession is expected immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 1.85 crore and it is negotiable. This residential plot is in the west-Facing direction. This property is located very close to school, close to the hospital and close to the market etc.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 1.85 Crore
@ 12,333 per sq.ft. (Negotiable)","Banjari Dussehra maidan
Kolar Road, Bhopal",1 Floors,West,,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,Aug 2026
"3 Bedroom House for sale in Bypass Road, Bhopal",geet mohini phase vi,₹75 Lac,"₹6,818 /sqft",Ready To Move,"I have a house/villa available for sale in bypass road, ayodhya. Available at price of rs 75 lacs. It has plot area of 1100 sq ft. It has 4 bhk, 3 bathroom, balcony.It is a freehold property","Plot area 1100
(102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, No Balcony","₹ 75 Lac
@ 6,818 per sq.ft.","geet mohini phase vi
Bypass Road, Bhopal",2 Floors,,5 to 10 Year Old,[],[],[],,
"3 Bedroom House for sale in Khajuri Kalan , Bhopal",Shashwat Apartments,₹53.5 - 60 Lac,"₹5,006 /sqft",Under Construction,"Shashwat apartments is a residential development in hatai kheda, bhopal. The project is built by prabhatam infrastructure and draupadi construction. They provide 1bhk,2bhk apartments with all necessities.",,,,,,,,[],[],"[{'Connectivity': '4 out of 5'}, {'Lifestyle': '3.9 out of 5'}, {'Safety': '4.1 out of 5'}, {'Green Area': '4.2 out of 5'}]",,
"4 Bedroom House for sale in Gopal Nagar, Bhopal",gopal nagar sector b,₹79.5 Lac,"₹4,542 /sqft",Ready To Move,Very spacious and well built villa at a distance of 500 meters from main road connecting piplani and raisen road. One of the best gyms of bhopal at a distance of 300 meters. Very peaceful location just in front of gharonda heights. Lots of open and empty space both at ground floor and 1st floor. Rani kamlapati railway station at exact distance of 9.5 kms from villa. Main railway station at exact distance of 15 kms from villa. Parking space for one 4 wheeler which can be converted to another room if required by purchaser,"Plot area 1750
(162.58 sq.m.)
Built Up area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 79.5 Lac
@ 4,542 per sq.ft. (All inclusive)","gopal nagar sector b
Gopal Nagar, Bhopal",2 Floors,West,10+ Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace']",[],,
"4 Bedroom House for sale in Kolar Road, Bhopal",Danish Hills View,₹2.25 Cr,"₹18,000 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in kolar road, bhopal. Available at price of rs 2.25 crores. It has plot area of 1250 sq ft. It has huge living room, 4 bhk, 4 bathrooms,2 balcony, cctv cameras, solar panels fitted.It is a freehold property. It has a vacuum tubular lift fitted inside the house. It has huge living area and a guest room on ground floor.","Plot area 1250
(116.13 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 2.25 Crore
@ 18,000 per sq.ft. (Negotiable)","Danish Hills View
Kolar Road, Bhopal",3 Floors,North-East,0 to 1 Year Old,"['1 Water Purifier', '1 Exhaust Fan', '1 Dining Table', '5 Geyser', '1 Stove', '6 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Fan', 'No Light', 'No Fridge']",['Private Garden / Terrace'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Jatkhedi, Bhopal",Rakhi Shankaracharya Flower City,₹1.25 Cr,"₹6,250 /sqft",Ready To Move,"Garden facing; Gated community (Secure as flat); 1 km from ashima mall on hoshangabad road. Markets, schools, university and hospitals nearby.","Plot area 1265
(117.52 sq.m.)
Built Up area: 2800 sq.ft. (260.13 sq.m.)
Carpet area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Store Room","₹ 1.25 Crore
@ 6,250 per sq.ft. (All inclusive, Negotiable)","Rakhi Shankaracharya Flower City
Jatkhedi, Bhopal",2 Floors,,5 to 10 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",[],Park/Garden,
