pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"3 Bedroom House for sale in Sukhi Sewania, Bhopal","Sukhi Sewania, Bhopal",₹49 Lac,"₹4,949 /sqft",Ready To Move,"Check out this 3 bhk house for sale in sukhi sewania, a popular residential locality that contains many of the in-Demand properties in bhopal. The house has over built up area of 1000 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 2 balconies. Another added advantage of this 5-10 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. By paying just 37 lac, you can become the proud owner of this independent house. This independent house has access to clean 24*7 supply of water for its residents. This residential house is east-Facing direction.","Built Up area: 1000
(92.9 sq.m.)
Carpet area: 990 sq.ft. (91.97 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 49 Lac
@ 4,949 per sq.ft.","Sukhi Sewania, Bhopal",2 Floors,East,"Park/Garden,Main Road",0 to 1 Year Old,[],"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",[],
"3 Bedroom House for sale in Janki Nagar, Bhopal","Janki Nagar, Bhopal",₹65 Lac,"₹6,190 /sqft",Ready To Move,"This 3 bhk house for sale in janki nagar, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. This house occupies a built up area of 1050 sq.Ft. And contains 3 bedrooms, 2 bathrooms . Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 65 lac.","Built Up area: 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 65 Lac
@ 6,190 per sq.ft.","Janki Nagar, Bhopal",1 Floors,,,,[],[],[],undefined
"2 Bedroom House for sale in Karond, Bhopal",Signature Business Park,₹27 Lac,"₹4,500 /sqft",Ready To Move,"The new bus stand is 1 kilometres, The shopping malls like zudio and v2 and best-Price are at 5-10 minutes reach. Multicare hospitals like people's and bmhrc are also at 10 minutes reach. The sabji mandi is also 5 minutes away.","Plot area 600
(55.74 sq.m.)
Built Up area: 660 sq.ft. (61.32 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 27 Lac+ Govt Charges & Tax
@ 4,500 per sq.ft. (All inclusive, Negotiable)","Signature Business Park
Karond, Bhopal",1 Floors,South-West,,5 to 10 Year Old,"['1 Exhaust Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Kamlesh Nagar, Bhopal","Kamlesh Nagar, Bhopal",₹65 Lac,"₹4,333 /sqft",Ready To Move,The property is located at a very good location near the main highway and nearby sagar gaire. 6 km from the railway station and 5 kms from the airport. The location is prime.,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room","₹ 65 Lac+ Govt Charges & Tax
@ 4,333 per sq.ft. (All inclusive, Negotiable)","Kamlesh Nagar, Bhopal",2 Floors,South,Main Road,5 to 10 Year Old,"['3 Bed', '5 Fan', '1 Exhaust Fan', '8 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Visitor Parking']",[],
"5 Bedroom House for sale in Karond, Bhopal",Indus Regency,₹85 Lac,"₹7,391 /sqft",Ready To Move,"This 5 bhk house for sale in karond is an ideal abode for a family. Even better, it is situated in one of the prominent localities of bhopal. The house has over carpet area of 1150 sq.Ft. And comes with 5 bedrooms, 4 bathrooms and 2 balconies. Another added advantage of this 5-10 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. The property is available for sale at a competitive price of 85 lac. This independent house has access to clean 24*7 supply of water for its residents. This residential house is north-Facing direction.","Carpet area: 1150
(106.84 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 85 Lac
@ 7,391 per sq.ft. View Price Details","Indus Regency
Karond, Bhopal",3 Floors,North,,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"5 Bedroom House for sale in Bagli, Bhopal",JDN Kasturi Smart City,₹80 Lac,"₹8,000 /sqft",Ready To Move,This is newly 5 bhk duplex with modular kitchen and fall ceiling,"Plot area 1000
(92.9 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Servant Room","₹ 80 Lac
@ 8,000 per sq.ft. (All inclusive, Negotiable)","JDN Kasturi Smart City
Bagli, Bhopal",2 Floors,North,,0 to 1 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking']",[],
"2 Bedroom House for sale in Shahpura, Bhopal","Shahpura, Bhopal",₹24 Lac,"₹2,000 /sqft",Ready To Move,"Do you wish to buy an independent house in shahpura, bhopal. This 2 bhk house looks like an ideal choice for somebody looking for peace of mind. Containing 2 bedrooms, 2 bathrooms and 2 balconies, this independent house is spread over a built up area of 1200 sq.Ft. This 1-5 years old property is available for immediate possession as the house is ready to move. It is a freehold property. The property is available for sale at a competitive price of 24 lac.","Built Up area: 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 24 Lac
@ 2,000 per sq.ft.","Shahpura, Bhopal",2 Floors,,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"2 Bedroom House for sale in Karond, Bhopal","Karond, Bhopal",₹18 Lac,"₹3,000 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 2 bhk house for sale in karond, bhopal and make it your new address. The house has over built up area of 600 sq.Ft. And comes with 2 bedrooms, 2 bathrooms . Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 18 lac.","Built Up area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 18 Lac
@ 3,000 per sq.ft.","Karond, Bhopal",1 Floors,,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"4 Bedroom House for sale in Phanda Kala, Bhopal","Phanda Kala, Bhopal",₹20 Lac,₹500 /sqft,Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 4 bhk house for sale in phanda kala, bhopal and make it your new address. This house occupies a built up area of 4000 sq.Ft. And contains 4 bedrooms, 3 bathrooms . This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. The price of this spacious independent house is 20 lac.","Built Up area: 4000
(371.61 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, No Balcony","₹ 20 Lac
@ 500 per sq.ft.","Phanda Kala, Bhopal",5 Floors,,,,[],[],[],undefined
"4 Bedroom House for sale in Chuna Bhatti, Bhopal","Chuna Bhatti, Bhopal",₹2 Cr,"₹9,000 /sqft",Ready To Move,"Chuna bhatti is one of bhopal's most sought after destination for residential houses and this 4 bhk house in chuna bhatti is your opportunity to be a part of this community. The floor plan additionally contains 4 bedrooms, 3 bathrooms . All in all, the independent house is spread over a built up area of 2000 sq.Ft. This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 1 crore.","Plot area 1320
(122.63 sq.m.)
Built Up area: 2222 sq.ft. (206.43 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, No Balcony","₹ 2 Crore
@ 9,000 per sq.ft.","Chuna Bhatti, Bhopal",2 Floors,East,,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",['Private Garden / Terrace'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Gomti Colony, Bhopal","Gomti Colony, Bhopal",₹1.25 Cr,"₹10,417 /sqft",Ready To Move,"Do you wish to buy an independent house in gomti colony, bhopal. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a carpet area of 1200 sq.Ft. And contains 4 bedrooms, 4 bathrooms and 2 balconies. Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. This spacious house can be all yours at an attractive price of 1.25 crore.","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.25 Crore
@ 10,417 per sq.ft.",", Bhopal",2 Floors,,,,[],[],[],undefined
"4 Bedroom House for sale in Samardha, Bhopal","Samardha, Bhopal",₹27 Lac,"₹4,500 /sqft",Ready To Move,"Cement road , coverd colony , near by temple , atmosphere to good . Water tank facility , stand light near by hospital ,main road. All facilities near by home Urgent sales.","Plot area 600
(55.74 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Others","₹ 27 Lac
@ 4,500 per sq.ft. (Negotiable)","Samardha, Bhopal",3 Floors,,"Park/Garden,Main Road,Club",10+ Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park']",[],
"3 Bedroom House for sale in Janki Nagar, Bhopal","Janki Nagar, Bhopal",₹35 Lac,"₹2,333 /sqft",Ready To Move,"Janki nagar is one of bhopal's most sought after destination for residential houses and this 3 bhk house in janki nagar is your opportunity to be a part of this community. Containing 3 bedrooms, 2 bathrooms , this independent house is spread over a built up area of 1500 sq.Ft. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. The property is available for sale at a competitive price of 35 lac.","Built Up area: 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 35 Lac
@ 2,333 per sq.ft.","Janki Nagar, Bhopal",2 Floors,,,,[],[],[],undefined
"3 Bedroom House for sale in Gandhinagar, Bhopal",Aerocity,₹85 Lac,"₹5,666 /sqft",Ready To Move,It's a 3bhk duplex build by bhopal development Authority and the house is at corner every room have Attached washroom and balcony 2 cars parking in house Area and normal size garden in front of living room in Front of house 12meter road and there was 24hr guard Service and safety only serious buyer can contact prices Are negotiable on table.,"Plot area 1500
(139.35 sq.m.)
Built Up area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 85 Lac
@ 5,666 per sq.ft. (Negotiable)","Aerocity
Gandhinagar, Bhopal",1 Floors,South-West,"Main Road,Park/Garden",1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Water Storage', 'No open drainage around', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Sector A Rajeev Nagar, Bhopal",ayodhya bypass rajeev nagar sector B,₹22 Lac,"₹5,500 /sqft",Ready To Move,Property is located behind reliance mart ayodhya bypass in rajeev nagar sector b. School college hospital is within walking distance. Property is also good in investment purpose as it is giving rent around 9k per month.,"Plot area 400
(37.16 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac+ Govt Charges & Tax
@ 5,500 per sq.ft. (Negotiable) View Price Details","ayodhya bypass rajeev nagar sector B
Sector A Rajeev Nagar, Bhopal",2 Floors,,,5 to 10 Year Old,"['1 Water Purifier', '4 Fan', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']",['Water Storage'],[],
"2 Bedroom House for sale in Gopal Nagar, Bhopal","Gopal Nagar, Bhopal",₹70 Lac,"₹4,666 /sqft",Ready To Move,Interested to sell independent house/villa.It has spacious 2 bedrooms and 2 bathrooms. .Nice unfurnished enhancing decorplaced at gopal nagar.Want to sell it for rs 7000000.It is a 10 years old property construction na,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 70 Lac
@ 4,666 per sq.ft.","Gopal Nagar, Bhopal",1 Floors,,,10+ Year Old,[],[],[],
"7 Bedroom House for sale in Mahabali Nagar, Bhopal",Maa Parvati Nagar,₹1.1 Cr,"₹11,956 /sqft",Ready To Move,"This is 3 floor building with running rental income Corner house - Inside 4 bikes parking and on road side 2-4 car parking possible Ground floor - 2 bhk 1 shop in ground floor Under ground water tank 1st floor - 3 bhk with front shed 2nd floor - 2 bhk with front shed Monthly good rental income coming Property close to kolar road 6 lane around 400 m only Within 1 km - Kolar dussehra ground, school, petrol pump, shopping market, food market, vegetable market, multi specialist hospital too and more You can contact on 977 08 7 91 6 9 Nine seven seven zero eight seven nine one six nine","Plot area 920
(85.47 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","7 Bedrooms , 6 Bathrooms, 2 Balconies","₹ 1.1 Crore+ Govt Charges & Tax
@ 11,956 per sq.ft. (All inclusive, Negotiable) View Price Details","Maa Parvati Nagar
Mahabali Nagar, Bhopal",3 Floors,North,"Park/Garden,Main Road",10+ Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Park', 'Natural Light']",[],
"3 Bedroom House for sale in Khajoori Sadak, Bhopal","Khajoori Sadak, Bhopal",₹30 Lac,"₹2,000 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in khajoori sadak, bhopal and make it your new address. This house occupies a carpet area of 1800 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 3 balconies. This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 30 lac. An uninterrupted supply of clean water provides a hassle-Free experience for the residents. The residential house is east-Facing.","Carpet area: 1800
(167.23 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 30 Lac
@ 2,000 per sq.ft.","Khajoori Sadak, Bhopal",2 Floors,East,,,[],[],[],undefined
"3 Bedroom House for sale in Janki Nagar, Bhopal","Janki Nagar, Bhopal",₹38 Lac,"₹3,800 /sqft",Ready To Move,"Do you wish to buy an independent house in janki nagar, bhopal. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 1000 sq.Ft. Another added advantage of this 0-1 year old house is that it is available for immediate possession. The type of ownership of this property is freehold. This independent house is available at an attractive price of 38 lac.","Plot area 1000
(92.9 sq.m.)
Built Up area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 38 Lac
@ 3,800 per sq.ft.","Janki Nagar, Bhopal",2 Floors,,,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],undefined
"7 Bedroom House for sale in Hoshangabad Road, Bhopal",Ruchi Lifescapes,₹2.25 Cr,"₹7,530 /sqft",Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 7 bhk house in hoshangabad road, which is an ideal choice for a family. This house occupies a super built up area of 2988 sq.Ft. And contains 7 bedrooms, 7 bathrooms and 3 balconies. This 5-10 years old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 2.25 crore. You enjoy a 24*7 water supply in your house. This independent house is facing the east direction.","Plot area 2988
(277.59 sq.m.)
Built Up area: 5125 sq.ft. (476.13 sq.m.)  
sq.ft.","7 Bedrooms , 7 Bathrooms, 3 Balconies","₹ 2.25 Crore
@ 7,530 per sq.ft.","Ruchi Lifescapes
Hoshangabad Road, Bhopal",2 Floors,East,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"2 Bedroom House for sale in Karariya Sajidabad, Bhopal","Karariya Sajidabad, Bhopal",₹65 Lac,"₹8,125 /sqft",Ready To Move,"Check out this 2 bhk house for sale in karariya sajidabad, a popular residential locality that contains many of the in-Demand properties in bhopal. Containing 2 bedrooms, 2 bathrooms and 1 balcony, this independent house is spread over a built up area of 800 sq.Ft. Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. By paying just 65 lac, you can become the proud owner of this independent house. This independent house has access to clean 24*7 supply of water for its residents. This residential house is west-Facing direction.","Built Up area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 65 Lac
@ 8,125 per sq.ft.","Karariya Sajidabad, Bhopal",2 Floors,West,,,[],[],[],undefined
"House for sale in Patel Nagar, Bhopal",IBD Raisina,₹20 Lac,"₹2,000 /sqft",Ready To Move,"We have a house/villa available for sale in patel nagar, bhopal. Available at price of rs 20 lacs. It has plot area of 1000 sq ft. It has , 1 bathroom, 50 balcony.It is a leasehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","1 Bathroom, 3+ Balconies","₹ 20 Lac
@ 2,000 per sq.ft.","IBD Raisina
Patel Nagar, Bhopal",1 Floors,,,5 to 10 Year Old    View Construction Status,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 Bedroom House for sale in Berkhedi Kalan, Bhopal",Ganesh Colony,₹22 Lac,"₹3,525 /sqft",Ready To Move,Ready to move owen house for sell.,"Plot area 624
(57.97 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 22 Lac
@ 3,525 per sq.ft. (Negotiable)","Ganesh Colony
Berkhedi Kalan, Bhopal",1 Floors,,,1 to 5 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],
"3 Bedroom House for sale in Nariyalkheda, Bhopal","Nariyalkheda, Bhopal",₹38 Lac,"₹6,333 /sqft",Ready To Move,Fully furnished with interior and ceiling in hall with lowers panels,"Plot area 600
(55.74 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 38 Lac
@ 6,333 per sq.ft. (Negotiable)","Nariyalkheda, Bhopal",3 Floors,,,5 to 10 Year Old,"['1 Wardrobe', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],
"4 Bedroom House for sale in Bharat Nagar, Indrapuri, Bhopal","Bharat Nagar, Indrapuri, Bhopal",₹2.3 Cr,"₹9,583 /sqft",Ready To Move,"8hrs water supply,near jk road,7km bhopal railway station","Plot area 2400
(222.97 sq.m.)
Carpet area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, No Balcony with Others","₹ 2.3 Crore+ Govt Charges & Tax
@ 9,583 per sq.ft. (Negotiable)","Bharat Nagar, Indrapuri, Bhopal",1 Floors,West,Park/Garden,10+ Year Old,"['1 Wardrobe', '1 Fan', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Waste Disposal']",[],
