pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"3 Bedroom House for sale in Kolar Road, Bhopal","Kolar Road, Bhopal",₹45 Lac,"₹5,625 /sqft",Ready To Move,"3 bhk duplex for sale rajharsh colony, kolar road, bhopal Plot size: 800 sq.Ft. Super built-Up area: 1400 sq.Ft. West facing Highlights: Located in rajharsh colony, one of the prime residential areas of kolar road Spacious 3 bhk duplex with modern design Well-Connected to schools, hospitals, shopping complexes & highway Peaceful yet well-Developed neighborhood Suitable for: Families looking for a ready-To-Move premium duplex Investment with high appreciation potential Urgent sale best deal available! Contact now for site visit & price details: Omraa infra","Plot area 800
(74.32 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Others","₹ 45 Lac+ Govt Charges & Tax
@ 5,625 per sq.ft. (Negotiable) View Price Details","Kolar Road, Bhopal",2 Floors,West,"Park/Garden,Sea facing,Others,Main Road",1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Rohit Nagar, Bhopal","Rohit Nagar, Bhopal",₹1.65 Cr,"₹11,000 /sqft",Ready To Move,Newly constructed 4bhk duble story independence house for selling property available. Near by sagar public school bawdiya kalan bhopal. Selling price 1cr 65 lakhs nigotevle price. Only genius parson contact me. Rp property,"Plot area 1500
(139.35 sq.m.)
Built Up area: 4000 sq.ft. (371.61 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3+ Balconies with Study Room,Others,Pooja Room","₹ 1.65 Crore
@ 11,000 per sq.ft. View Price Details","Rohit Nagar, Bhopal",2 Floors,North-East,"Park/Garden,Main Road,Others,Sea facing",0 to 1 Year Old,"['6 Fan', '1 Exhaust Fan', '1 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Danish Nagar, Bhopal","Danish Nagar, Bhopal",₹1.7 Cr,"₹6,800 /sqft",Ready To Move,Selling property available 3000 square feet plot area hai. Old property. Selling price 1cr 70 lakhs nigotevle price.,"Plot area 2500
(232.26 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)
Carpet area: 2511 sq.ft. (233.28 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Study Room,Pooja Room,Others","₹ 1.7 Crore
@ 6,800 per sq.ft. View Price Details","Danish Nagar, Bhopal",2 Floors,North-East,"Main Road,Park/Garden",10+ Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Chinar Fortune City, Bhopal","Chinar Fortune City, Bhopal",₹1.2 Cr,"₹8,333 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 4 bhk house for sale in chinar fortune city, bhopal and make it your new address. The floor plan additionally contains 4 bedrooms, 4 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 1440 sq.Ft. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This 10+ years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.2 crore, you can become the proud owner of this independent house. You enjoy a 24*7 water supply in your house. This independent house is facing the east direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 1440
(133.78 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.2 Crore
@ 8,333 per sq.ft. (Negotiable) View Price Details","Chinar Fortune City, Bhopal",2 Floors,East,"Pool,Main Road,Park/Garden",10+ Year Old,[],[],[],
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Fortune Delight,₹1.1 Cr,"₹9,166 /sqft",Ready To Move,"Hoshangabad road is one of bhopal's most sought after destination for residential houses and this 3 bhk house in hoshangabad road is your opportunity to be a part of this community. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 1200 sq.Ft. There is 1 covered & 1 open parking available with this house. Being a ready to move house, you can expect immediate possession of this 5-10 years old property. The nature of ownership of this independent house is freehold. This spacious house can be all yours at an attractive price of 1.1 crore. The independent house provides access to clean water through municipal corporation supply. This independent house is facing the north-East direction. The beautifully designed marble flooring enhances the beauty of this independent house.","Plot area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.1 Crore
@ 9,166 per sq.ft. (Negotiable) View Price Details","Fortune Delight
Hoshangabad Road, Bhopal",2 Floors,North-East,Park/Garden,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 Bedroom House for sale in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹2.1 Cr,"₹8,750 /sqft",Ready To Move,Best for residential use near main road property,"Plot area 2400
(222.97 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 3 Balconies","₹ 2.1 Crore
@ 8,750 per sq.ft. (Negotiable) View Price Details","Saket Nagar, Bhopal",2 Floors,East,"Park/Garden,Main Road",10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 Bedroom House for sale in Shahpura, Bhopal",Prakrati Parshv Pavilion,₹1.15 Cr,"₹9,829 /sqft",Ready To Move,"Check out this 3 bhk house for sale in shahpura, a popular residential locality that contains many of the in-Demand properties in bhopal. The house has over super built up area of 1170 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. There is 1 covered & 1 open parking available with this house. Another added advantage of this 5-10 years old house is that it is available for immediate possession. The type of ownership of this property is power of attorney. This independent house is available at an attractive price of 1.15 crore. This independent house is well equipped to meet all your water needs through access to borewell/tank and municipal corporation supply. This property faces the west direction.","Plot area 1170
(108.7 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.15 Crore
@ 9,829 per sq.ft. (Negotiable) View Price Details","Prakrati Parshv Pavilion
Shahpura, Bhopal",2 Floors,West,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 Bedroom House for sale in Kolar Road, Bhopal",Agrawal Sagar Green Hills,₹1.8 Cr,"₹13,636 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 5 bhk house for sale in kolar road, a well-Planned and well-Connected locality in bhopal. The floor plan additionally contains 5 bedrooms, 5 bathrooms and 3 balconies. All in all, the independent house is spread over a super built up area of 1320 sq.Ft. This 5 bhk house comes attached with 2 covered and 2 open parking for your vehicle(s). This is a ready to move house, which is 1-5 years old. The ownership right of this property is freehold. The property is available for sale at a competitive price of 1.8 crore. The housing society ensures a continuous supply of water to your house from municipal corporation and borewell/tank. This residential house is north-Facing direction. The well built marble flooring enhances the aesthetic appeal of this independent house. The marble flooring of this independent house is beautifully designed and helps to give it a pleasing look.","Plot area 1320
(122.63 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 3 Balconies with Pooja Room,Study Room","₹ 1.8 Crore
@ 13,636 per sq.ft. (Negotiable) View Price Details","Agrawal Sagar Green Hills
Kolar Road, Bhopal",3 Floors,North,"Pool,Park/Garden,Club,Main Road",1 to 5 Year Old,"['1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '1 Light', '1 Modular Kitchen', '1 AC', '1 TV', '1 Chimney', '1 Curtains', '1 Wardrobe', '1 Bed', '1 Sofa', '1 Microwave', '1 Washing Machine']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 Bedroom House for sale in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹2.7 Cr,"₹10,588 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 5 bhk house for sale in saket nagar, a well-Planned and well-Connected locality in bhopal. This house occupies a super built up area of 2550 sq.Ft. And contains 5 bedrooms, 4 bathrooms and 3 balconies. There are 2 covered & 2 open parking available with this house. As the property is already ready to move, so you can easily move into this 10+ years old house. This house is owned under freehold contract. The price of this spacious independent house is 2.7 crore. This independent house is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply. This property faces the north-East direction.","Plot area 2550
(236.9 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 3 Balconies with Study Room,Servant Room","₹ 2.7 Crore
@ 10,588 per sq.ft. (Negotiable) View Price Details","Saket Nagar, Bhopal",2 Floors,North-East,Main Road,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"5 Bedroom House for sale in Siddharth Enclave, Bhopal","Siddharth Enclave, Bhopal",₹1.25 Cr,"₹7,812 /sqft",Ready To Move,"Siddharth enclave is one of bhopal's most sought after destination for residential houses and this 5 bhk house in siddharth enclave is your opportunity to be a part of this community. Constructed on a super built up area of 1600 sq.Ft., this house comprises 5 bedrooms, 2 bathrooms and 1 balcony. As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under freehold contract. This independent house is available at an attractive price of 1.25 crore. The house will offer a modern lifestyle as it is presented with many of the amenities such as park. The residents of this house enjoy a 24*7 access to clean water. This property faces the south-East direction.","Plot area 1600
(148.64 sq.m.)  
sq.ft.","5 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 1.25 Crore
@ 7,812 per sq.ft. (All inclusive) View Price Details","Siddharth Enclave, Bhopal",2 Floors,South-East,,1 to 5 Year Old,[],"['Private Garden / Terrace', 'Park']",[],
