pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Property Age,furnishing,features,ratings,Facing,Possession in
"2 BHK Flat in Ayodhya Bypass , Bhopal",Geet Skyville,₹35 Lac,"₹2,333 /sqft",Ready To Move,This is an open ground facing flat with unobstructed view just 5 mins from all basic amenities.,"Carpet area: 1500
(139.35 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies
View Floor Plan","₹ 35 Lac
@ 2,333 per sq.ft.","Geet Skyville
Ayodhya Bypass , Bhopal",6th   of 6 Floors,Park/Garden,1 to 5 Year Old    View Construction Status,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '5 Light', '1 Curtains', '1 Bed', '1 Wardrobe', '1 Sofa', 'No AC', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No TV', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Park', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹25 Lac,"₹3,703 /sqft",Ready To Move,"Agrawal sagar golden palm is one of the most popular destination for buying apartments/ flats in katara hills, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 675 sq.Ft. The property is located on the ground floor of a 6 floors tall building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center,, lift(s), security personnel and maintenance staff.","Carpet area: 675
(62.71 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,703 per sq.ft.","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",Ground of 5 Floors,,5 to 10 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Bawadia Kalan, Bhopal",Vishnu Hitech City,₹55 Lac,"₹4,583 /sqft",Ready To Move,"Ready to move,very good location,reserved parking,security and good well maintained colony.","Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 55 Lac
@ 4,583 per sq.ft. (Negotiable)","Vishnu Hitech City
Bawadia Kalan, Bhopal",1st   of 6 Floors,"Park/Garden,Club,Main Road",10+ Year Old,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '20 Light', '3 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in TT Nagar, Bhopal",Platinum Park,₹65 Lac,"₹4,814 /sqft",Ready To Move,Excellent location and well maintained apartment and society. All possible amenities and great community of people.,"Super Built up area 1350
(125.42 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies
View Floor Plan","₹ 65 Lac
@ 4,814 per sq.ft. (Negotiable)","Platinum Park
TT Nagar, Bhopal",7th   of 9 Floors,"Pool,Club",10+ Year Old,"['1 Water Purifier', '4 Fan', '1 Exhaust Fan', '2 Geyser', '8 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"3 BHK Flat in Salaiya, Bhopal",Ville Panache,₹90 Lac,"₹5,142 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in ville panache, salaiya, bhopal. This it is a and the unit is located on 6th floor and has a super built-Up area of 1750sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1750
(162.58 sq.m.)
Carpet area: 1460 sq.ft. (135.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 90 Lac
@ 5,142 per sq.ft.","Ville Panache
Salaiya, Bhopal",6th   of 6 Floors,,1 to 5 Year Old    View Construction Status,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Misrod, Bhopal",Chinarr Dream City,₹28 Lac,"₹2,000 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in chinarr dream city, misrod, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 1400 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1400
(130.06 sq.m.)
Carpet area: 920 sq.ft. (85.47 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 28 Lac
@ 2,000 per sq.ft. (Negotiable)","Chinarr Dream City
Misrod, Bhopal",3rd   of 7 Floors,Park/Garden,5 to 10 Year Old,[],"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Mubarakpur Square, Bhopal",Globus Green Bay,₹25 Lac,"₹3,012 /sqft",Ready To Move,For sale: Spacious 2bhk apartment near airport,"Carpet area: 830
(77.11 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,012 per sq.ft.","Globus Green Bay
Mubarakpur Square, Bhopal",5th   of 6 Floors,Park/Garden,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM']",[],North,
"2 BHK Flat in Salaiya, Bhopal",Bda Apartment,₹16 Lac,"₹2,666 /sqft",Ready To Move,Fully furnished ground floor flat available to sell,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 16 Lac
@ 2,666 per sq.ft.","Bda Apartment
Salaiya, Bhopal",Ground of 5 Floors,,1 to 5 Year Old,"['3 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Shiv Sangam Nagar, Bhopal",Soumya Parklands,₹30 Lac,"₹2,661 /sqft",Ready To Move,"East facing, covered campus,alloted covered parking,","Built Up area: 1127
(104.7 sq.m.)
Carpet area: 783 sq.ft. (72.74 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac+ Govt Charges & Tax
@ 2,661 per sq.ft. (Negotiable)","Soumya Parklands
Shiv Sangam Nagar, Bhopal",4th   of 6 Floors,,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Sofa', '1 Exhaust Fan', '1 Stove', '1 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Katara Hills, Bhopal",Centurion Sky,₹40 Lac,"₹5,000 /sqft",Ready To Move,Fully furnished and decorated with covered and reserve parking space for car,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 40 Lac+ Govt Charges & Tax
@ 5,000 per sq.ft. (Negotiable)","Centurion Sky
Katara Hills, Bhopal",5th   of 8 Floors,"Pool,Park/Garden",1 to 5 Year Old,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '10 Light', '1 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,
"2 BHK Flat in Jahangirabad, Bhopal",Al-fiza tower,₹26 Lac,"₹3,714 /sqft",Ready To Move,Mera flate jahangeerabaad main market me rajdhani petrol pump k pass h please gunine candidate hi contact karein,"Built Up area: 750
(69.68 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 26 Lac
@ 3,714 per sq.ft. (Negotiable)","Al-fiza tower
Jahangirabad, Bhopal",2nd   of 4 Floors,,5 to 10 Year Old,[],"['Lift(s)', 'Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Ayodhya Bypass , Bhopal",Jeet Homes,₹20 Lac,"₹3,120 /sqft",Ready To Move,Talk over phone for more information.,"Built Up area: 712
(66.15 sq.m.)
Carpet area: 641 sq.ft. (59.55 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony
View Floor Plan","₹ 20 Lac
@ 3,120 per sq.ft. (Negotiable)","Jeet Homes
Ayodhya Bypass , Bhopal",5th   of 8 Floors,Others,1 to 5 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South,
"2 BHK Flat in Jumerati, Bhopal",Aliganj,₹23 Lac,"₹4,181 /sqft",Ready To Move,"55b, aliganj, jumerati, bhopal","Carpet area: 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 23 Lac+ Govt Charges & Tax
@ 4,181 per sq.ft. (All inclusive, Negotiable) View Price Details","Aliganj
Jumerati, Bhopal",1st   of 3 Floors,Others,10+ Year Old,"['1 Fan', '7 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Water Storage', 'Recently Renovated', 'Bank Attached Property', 'Spacious Interiors']",[],West,
"2 BHK Flat in Misrod, Bhopal",Natraj Society,₹16 Lac,"₹2,503 /sqft",Ready To Move,Modular kitchen and widely lauf,"Built Up area: 756
(70.23 sq.m.)
Carpet area: 639 sq.ft. (59.37 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 16 Lac
@ 2,503 per sq.ft. (Negotiable)","Natraj Society
Misrod, Bhopal",1st   of 4 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Jatkhedi, Bhopal",Shri Balaji Swastik Grand,₹40 Lac,"₹2,162 /sqft",Ready To Move,Flat for sale at hoshangabad roads prime location at affordable price,"Carpet area: 1850
(171.87 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Pooja Room","₹ 40 Lac+ Govt Charges & Tax
@ 2,162 per sq.ft. (Negotiable)","Shri Balaji Swastik Grand
Jatkhedi, Bhopal",4th   of 4 Floors,,1 to 5 Year Old,[],"['High Ceiling Height', 'Swimming Pool', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",[],,
