pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"2 BHK Flat in Kolar Road, Bhopal",Janki Apartments,₹24 Lac,"₹3,692 /sqft",Ready To Move,"Prime location, shahpura, near by bansal hospital, near by manisha market, near by aura mall Main road trilanga par shahpura me","Carpet area: 650
(60.39 sq.m.)","2 Bedrooms , 2 Bathrooms, 2 Balconies with Others","₹ 24 Lac+ Govt Charges & Tax
@ 3,692 per sq.ft. (Negotiable) View Price Details","Janki Apartments
Kolar Road, Bhopal",1st   of 4 Floors,East,Park/Garden,10+ Year Old,[],"['Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Gulmohar Colony, Bhopal",gulmohar colony Bhopal,₹25 Lac,"₹3,333 /sqft",Ready To Move,2 bhk independent flat available for sale in gulmohar colony near shivay complex 2nd floor without lift,,,,,,,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Salaiya, Bhopal",Rudraksh Kasturi,₹50 Lac,"₹2,941 /sqft",Ready To Move,3 bhk newly unused flat available for sale covered campus in rudraksha kasturi salaiya bhopal,"Super Built up area 1700
(157.94 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 50 Lac
@ 2,941 per sq.ft. View Price Details","Rudraksh Kasturi
Salaiya, Bhopal",3rd   of 10 Floors,North,"Main Road,Club,Pool,Park/Garden",1 to 5 Year Old,[],"['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Salaiya, Bhopal",Lila Atulyam,₹35 Lac,"₹2,564 /sqft",Ready To Move,2 bhk newly flat available for sale covered campus in lila atulyam salaiya,"Super Built up area 1365
(126.81 sq.m.)
Built Up area: 1011 sq.ft. (93.92 sq.m.)
Carpet area: 805 sq.ft. (74.79 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 2,564 per sq.ft. View Price Details","Lila Atulyam
Salaiya, Bhopal",5th   of 7 Floors,East,"Pool,Club,Park/Garden,Main Road,Others",0 to 1 Year Old    View Construction Status,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Bawadia Kalan, Bhopal",Mahendra Square,₹49.9 Lac,"₹6,472 /sqft",Ready To Move,"This 2 bhk apartment is available for sale in mahendra square, one of the most prominent projects for flats in bawadia kalan, bhopal. The flat is facing the east direction. The flat is over 771 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat lies on the 1st level of a 3 storey building. This is a ready to move project and the property is 1-5 years old. The beautifully designed marble flooring enhances the beauty of the flat. Mahendra square is designed very well to provide modern facilities such as swimming pool, club house / community center, park, shopping centre and lift(s).","Super Built up area 771
(71.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 49.9 Lac
@ 6,472 per sq.ft. (Negotiable) View Price Details","Mahendra Square
Bawadia Kalan, Bhopal",1st   of 3 Floors,East,"Park/Garden,Pool,Club",1 to 5 Year Old,"['1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '1 Light', '1 Chimney', '1 TV', '1 Curtains', '1 Modular Kitchen', '1 AC', '1 Wardrobe', '1 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Hoshangabad Road, Bhopal",Fortune Kasturi,₹37 Lac,"₹2,850 /sqft",Ready To Move,"Situated in hoshangabad road, bhopal, fortune kasturi is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in bhopal is your opportunity to be a part of this community. This property faces the east direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1298 sq.Ft. This flat is situated on the 1st floor of this 6 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The beautifully designed marble flooring enhances the beauty of the flat. All the modern amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, cctv surveillance and lift(s) will make life easier for you.","Super Built up area 1298
(120.59 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 37 Lac
@ 2,850 per sq.ft. (Negotiable) View Price Details","Fortune Kasturi
Hoshangabad Road, Bhopal",1st   of 6 Floors,East,"Park/Garden,Club,Main Road",1 to 5 Year Old    View Construction Status,[],"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Hoshangabad Road, Bhopal",Sterling Globe Grand,₹42 Lac,"₹3,134 /sqft",Ready To Move,"For sale 3bhk spacious flat well ventilated attached toilet near hoshangabad road , close to mall hospital school market and public transport","Super Built up area 1340
(124.49 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Others","₹ 42 Lac+ Govt Charges & Tax
@ 3,134 per sq.ft. View Price Details","Sterling Globe Grand
Hoshangabad Road, Bhopal",2nd   of 7 Floors,East,"Park/Garden,Main Road",1 to 5 Year Old,"['6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Katara Hills, Bhopal",Amaltas Avenue,₹36.9 Lac,"₹2,713 /sqft",Ready To Move,"For sale: 1360 sq. Ft. 3bhk spacious corner flat, three-Side open, luxurious, and beautiful at amaltas avenue, on the main road, katara hills, bhopal.","Super Built up area 1360
(126.35 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 36.9 Lac+ Govt Charges & Tax
@ 2,713 per sq.ft.","Amaltas Avenue
Katara Hills, Bhopal",3rd   of 4 Floors,East,"Park/Garden,Main Road",5 to 10 Year Old,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹40 Lac,"₹4,166 /sqft",Ready To Move,3 bhk flat for sale close campus etc,"Built Up area: 1200
(111.48 sq.m.)
Carpet area: 960 sq.ft. (89.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 40 Lac
@ 4,166 per sq.ft. View Price Details","Shiva Whispering Woods
Salaiya, Bhopal",3rd   of 6 Floors,,,1 to 5 Year Old,"['2 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Maintenance Staff'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Salaiya, Bhopal",IBD Royal Citii,₹27 Lac,"₹2,186 /sqft",Ready To Move,3 bhk flat for sale Ibd royal city salaiya bhopal Price 27 lac negotiable Size 1235 sqft Extra civil work Vitrified tiles Fit tiles in bathroom Fit tiles in kitchen Modular switches Inverter wiring Extra loft in the kitchen and in one room Corner washbasin,"Carpet area: 1235
(114.74 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Others","₹ 27 Lac
@ 2,186 per sq.ft. (Negotiable) View Price Details","IBD Royal Citii
Salaiya, Bhopal",3rd   of 5 Floors,East,"Park/Garden,Main Road",1 to 5 Year Old,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
