pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"3 Bedroom House for sale in Bawadia Kalan, Bhopal","Bawadia Kalan, Bhopal",₹65 Lac,"₹5,652 /sqft",Ready To Move,Independent house self constructed,"Plot area 1000
(92.9 sq.m.)
Carpet area: 1150 sq.ft. (106.84 sq.m.)  
sq.ft.","3 Bedrooms , 5 Bathrooms, 1 Balcony","₹ 65 Lac
@ 5,652 per sq.ft. (All inclusive, Negotiable)","Bawadia Kalan, Bhopal",2 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Airport Road, Bhopal",Shanti Enclave,₹42 Lac,"₹5,250 /sqft",Ready To Move,800 sq feet duplex building for sale,"Plot area 800
(74.32 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 42 Lac
@ 5,250 per sq.ft.","Shanti Enclave
Airport Road, Bhopal",2 Floors,0 to 1 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Bawadia Kalan, Bhopal","Bawadia Kalan, Bhopal",₹61 Lac,"₹6,100 /sqft",Ready To Move,"Close to bawadiya kalan bridge. Peaceful greenery space, surrounded with good gentry. Near by apollo hospital, pallavi nagar. Currently under renovation - Modifications can be done. 100sqft plot size with additional land very good option for people love living near nature.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room,Others,Study Room","₹ 61 Lac
@ 6,100 per sq.ft. (Negotiable)","Bawadia Kalan, Bhopal",,10+ Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-East,,
"3 Bedroom House for sale in Bawadia Kalan, Bhopal","Bawadia Kalan, Bhopal",₹60 Lac,"₹6,000 /sqft",Ready To Move,"Best location Close to apollo hospital, hoshangabad road. Best future investment option, in prime location of bawadiya kalan. Near by pallavi nagar, bawadiya bridge. Reinnovation is goin on, so can be modified based on requirements.","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 60 Lac
@ 6,000 per sq.ft. (Negotiable)","Bawadia Kalan, Bhopal",2 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 Bedroom House for sale in Bypass Road, Bhopal",g n city,₹62 Lac,"₹5,299 /sqft",Ready To Move,"We have a house/villa available for sale in bypass road, bareilly. Available at price of rs 62 lacs. It has plot area of 1170 sq ft. It has 2 bhk, 2 bathroom, 1 balcony.It is a freehold property","Plot area 1170
(108.7 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 62 Lac
@ 5,299 per sq.ft.","g n city
Bypass Road, Bhopal",2 Floors,1 to 5 Year Old,[],[],[],,,
"4 Bedroom House for sale in Bairagarh, Bhopal","Bairagarh, Bhopal",₹2.25 Cr,"₹22,500 /sqft",Ready To Move,"Looking for buyer to purchase our house/villa available for sale in bairagarh, bhopal. Available at price of rs 225000. It has plot area of 1000 sq ft. It has 4 bhk, 4 bathroom, 2 balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 2.25 Crore
@ 22,500 per sq.ft.","Bairagarh, Bhopal",2 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 Bedroom House for sale in Bagmugaliya, Bhopal","Bagmugaliya, Bhopal",₹1 Cr,"₹8,000 /sqft",Ready To Move,"This 2 bhk house for sale in bhagmoliya, a well planned locality in bhopal, is ideal for a family that is looking for complete peace of mind. The property's proximity to landmarks like close to metro station, close to school, close to hospital and close to market makes it ideal property for families. The house has over super built up area of 1250 sq.Ft. And comes with 2 bedrooms, 2 bathrooms and 1 balcony. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. As the property is already ready to move, so you can easily move into this 10+ years old house. This house is owned under freehold contract. The property is available for sale at a competitive price of 1 crore. Borewell/tank provides a regular supply of water to this residential house. The residential house is east-Facing. The floor of this independent house is beautifully designed using marble flooring, giving it an alluring look.","Plot area 1250
(116.13 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 1 Crore
@ 8,000 per sq.ft. (Negotiable)","Bagmugaliya, Bhopal",1 Floors,10+ Year Old,"['1 Water Purifier', '1 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '1 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '1 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,,
"3 Bedroom House for sale in Bypass Road, Bhopal","Bypass Road, Bhopal",₹37 Lac,"₹3,700 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in bypass road, unnao. Available at price of rs 37 lacs. It has plot area of 1000 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 37 Lac
@ 3,700 per sq.ft.","Bypass Road, Bhopal",1 Floors,5 to 10 Year Old,[],[],[],,,
"3 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹70 Lac,"₹5,600 /sqft",Ready To Move,"I have ready to move property in very reasonable price in this property we have 3 room with 2 bathroom,specious balcony,covered parking and garden","Plot area 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 70 Lac
@ 5,600 per sq.ft.","Awadhpuri, Bhopal",2 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Club,Main Road,Others",
"3 Bedroom House for sale in Airport Road, Bhopal",VK Comfort Lush Green,₹90 Lac,"₹10,000 /sqft",Ready To Move,"New duplex east facing purchase on thus year april 2024 Duplex with amenities of club house garden play areas,","Plot area 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 90 Lac
@ 10,000 per sq.ft. (All inclusive, Negotiable)","VK Comfort Lush Green
Airport Road, Bhopal",,1 to 5 Year Old    View Construction Status,[],"['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Main Road,
